Premise 1,Premise 2,Syllogistic relation,Conclusion,index
exhausts coming out of diesel vehicles cause acid rain,acid rain is extremely dangerous for our forests,yes,exhausts coming out of diesel vehicles are extremely dangerous for our forests,367
Jack underwent long days without sleeping and participating in any entertainment.,So much work and no fun deteriorate the mental state of a person.,yes,Jack’s mental state was deteriorated.,368
 Having a regular bedtime schedule can intensify the quality of sleep.,Having a good nap and sleeping help our body relaxation.  ,yes,having a regular bedtime schedule can help our body relaxation.,370
Any interruption in pouring the concrete can give rise to the initially placed material to begin to set before the next batch is added on top,"if the original material is fixed before the next set is put on,a horizontal plane of weakness called a cold joint between the two batches will take form",yes,Any interruption in pouring the concrete can give rise to the formation of a horizontal plane of weakness called a cold joint between the two batches,372
"When customers spend a lot of time looking at the items on a menu, they're likely to order more","When customers can browse the menu without feeling rushed by lines, they tend to spend more time deciding what to order",yes,"When customers can browse the menu without feeling rushed by lines,they're likely to order more",373
Operating an automobile in a way that could endanger other people or property is considered negligent driving.,   Riding a car under the influence of alcohol or drugs is considered negligent. ,yes,Riding a car under the influence of alcohol or drugs  could endanger other people or property ,374
"A contract is the exchange of a set of obligations between two or more parties,",aggreements must be carefully considered,yes,"the exchange of sets of obligations between two or more parties,must be carefully considered",376
Oxidative stress is believed to be involved in both the onset and the progression of neurological diseases like Alzheimer’s disease.,Alzheimer’s disease is a devastating condition that causes memory loss and negatively affects thinking and behavior.,yes,Oxidative stress  is a devastating condition that causes memory loss and negatively affects thinking and behavior.,377
consuming too much coffee makes it difficult to sleep,not getting enough sleep increases stress levels,yes,consuming too much coffee increases stress levels,379
Listening to music decreases levels of cortisol in your body.,Music Lowers Stress and Improves Health. ,yes,"Decrease in levels of cortisol in your body, Lowers Stress and Improves Health.",380
small firms tend to have less customers,small number of customers makes it easy to provide better customer service than bigger companies,yes,small firms provide better customer service than bigger companies,381
