Premise 1,Premise 2,Syllogistic relation,Conclusion,index
Professionalism will keep customers coming back to you,"If you don't give people freedom to make decisions, they will keep coming back to you to make the decisions for them.",no,No conclusion,199
The wind energy is from heat and pressure in weather patterns,The heat and pressure in weather patterns is from sun's energy which warms the surface by sunshine,yes,The wind energy power is from sun's energy which warms the surface by sunshine.,200
"If you listen really hard to what his body tells you, you can save him",Aluminum can accumulate in the body has a link with Alzheimer’s disease ,no,No conclusion,201
being invulnerable to antibiotics leads to a great number of infections – such as pneumonia. ,It may at other times lead to great difficulties in the supply of the gaseous constituents which are used in the manufacture of food.,no,No conclusion,202
county seat is a seat of local government in a region,Chicago is the county seat of Cook County,yes,Chicago is the seat of local government in cook county,203
"this is believed that direct democracy implemented through a system of communes by Marxists, Leninists and Trotskyists ","Is direct democracy will change the belief of people, system of education and system of communes?",no,No conclusion,204
There was an important contrast between modern and old urban settings.,Adults with mild cognitive impairment can learn and benefit from mindfulness meditation.,no,No conclusion,205
Imprisonment of someone is to separate them from the society.,The absolute last thing to do when facing disillusionment is to separate from the church.,no,No conclusion,206
"As medical professionals approximate, about half of children aged 10-18 habitually bite their nails.","According to medical estimates, about 50% children aged between 10 and 18 years have the habit of biting their nails.",no,No conclusion,207
glacier conditions are in critical situation in Antarctica.,penguin colonies lives in Antarctica are depend on sea ices.,yes,penguin colonies lives are in a critical situation in Antarctica.,208
the close proximity of apartment life enhances the probability of creating a sense of community,developing Group spirit is usually associated with creating life long connections,yes,The close proximity of apartment life is associated with creating life long connections,209
It is easier to perfect your product if you're aware of the consumer demand,Researching the market gives you further ideas about what the customer want,yes,It is easier to perfect your product if you research the market,210
Severe drizzles can bring about a lot of floods,Hurricanes carry a lot of rains with themselves,yes,Hurricanes can bring about a lot of floods,211
Cod is containing large amount of Vitamin B12., Foods containing large amount of polyunsaturated fatty acids will generally contain large amounts of vitamin E.,no,No conclusion,212
Most women suffer from feelings of guilt and shame after an abortion,Enormous grief and gulit could contribute to long-term depression,yes,Most women suffer from long-term depression after an abortion,213
Being frightened of loneliness contributes to intense paranoia. ,Individuals with Borderline Personality Disorder often are afraid of being alone.,yes,Borderline Personality Disorder often  contributes to intense No conclusionnoia,214
